date [s];Max:Particle Z-Coordinate (Study 01 - Particles) [m];Min:Absolute Translational Velocity (Study 01 - Particles) [m/s];displacement (m);time (s)
0.0281;0.00336368;0.0229857;0.00053276;0.0267
0.0282;0.00336138;0.0229859;0.00053506;0.0268
0.0283;0.00335908;0.0229861;0.00053736;0.0269
0.0284;0.00335678;0.0229863;0.00053966;0.027
0.0285;0.00335449;0.0229865;0.00054195;0.0271
0.0286;0.00335219;0.0229868;0.00054425;0.0272
0.0287;0.00334989;0.0229869;0.00054655;0.0273
0.0288;0.00334759;0.0229871;0.00054885;0.0274
0.0289;0.00334529;0.0229873;0.00055115;0.0275
0.029;0.00334299;0.0229875;0.00055345;0.0276
0.0291;0.00334069;0.0229877;0.00055575;0.0277
0.0292;0.00333839;0.0229878;0.00055805;0.0278
0.0293;0.00333609;0.022988;0.00056035;0.0279
0.0294;0.0033338;0.0229882;0.00056264;0.028
0.0295;0.0033315;0.0229883;0.00056494;0.0281
0.0296;0.0033292;0.0229885;0.00056724;0.0282
0.0297;0.0033269;0.0229886;0.00056954;0.0283
0.0298;0.0033246;0.0229887;0.00057184;0.0284
0.0299;0.0033223;0.0229889;0.00057414;0.0285
0.03;0.00332;0.022989;0.00057644;0.0286
0.0301;0.0033177;0.0229891;0.00057874;0.0287
0.0302;0.0033154;0.0229893;0.00058104;0.0288
0.0303;0.00331311;0.0229894;0.00058333;0.0289
0.0304;0.00331081;0.0229895;0.00058563;0.029
0.0305;0.00330851;0.0229896;0.00058793;0.0291
0.0306;0.00330621;0.0229897;0.00059023;0.0292
0.0307;0.00330391;0.0229898;0.00059253;0.0293
0.0308;0.00330161;0.0229899;0.00059483;0.0294
0.0309;0.00329931;0.02299;0.00059713;0.0295
0.031;0.00329701;0.0229901;0.00059943;0.0296
0.0311;0.00329471;0.0229902;0.00060173;0.0297
0.0312;0.00329241;0.0229903;0.00060403;0.0298
0.0313;0.00329012;0.0229904;0.00060632;0.0299
0.0314;0.00328782;0.0229905;0.00060862;0.03
0.0315;0.00328552;0.0229906;0.00061092;0.0301
0.0316;0.00328322;0.0229906;0.00061322;0.0302
0.0317;0.00328092;0.0229907;0.00061552;0.0303
0.0318;0.00327862;0.0229908;0.00061782;0.0304
0.0319;0.00327632;0.0229909;0.00062012;0.0305
0.032;0.00327402;0.0229909;0.00062242;0.0306
0.0321;0.00327172;0.022991;0.00062472;0.0307
0.0322;0.00326942;0.0229911;0.00062702;0.0308
0.0323;0.00326712;0.0229911;0.00062932;0.0309
0.0324;0.00326483;0.0229912;0.00063161;0.031
0.0325;0.00326253;0.0229913;0.00063391;0.0311
0.0326;0.00326023;0.0229913;0.00063621;0.0312
0.0327;0.00325793;0.0229914;0.00063851;0.0313
0.0328;0.00325563;0.0229914;0.00064081;0.0314
0.0329;0.00325333;0.0229915;0.00064311;0.0315
0.033;0.00325103;0.0229915;0.00064541;0.0316
0.0331;0.00324873;0.0229915;0.00064771;0.0317
0.0332;0.00324643;0.0229916;0.00065001;0.0318
0.0333;0.00324414;0.0229744;0.0006523;0.0319
0.0334;0.00324184;0.0229826;0.0006546;0.032
0.0335;0.00323954;0.0229897;0.0006569;0.0321
0.0336;0.00323724;0.0229894;0.0006592;0.0322
0.0337;0.00323494;0.0229896;0.0006615;0.0323
0.0338;0.00323264;0.0229899;0.0006638;0.0324
0.0339;0.00323034;0.0229902;0.0006661;0.0325
0.034;0.00322804;0.0229904;0.0006684;0.0326
0.0341;0.00322574;0.0229905;0.0006707;0.0327
0.0342;0.00322344;0.0229907;0.000673;0.0328
0.0343;0.00322115;0.0229908;0.00067529;0.0329
