Date [s],Max:Particle Z-Coordinate (Study 01 - Particles) [m],Min:Absolute Translational Velocity (Study 01 - Particles) [m/s]
0,-1.#IND,-1.#IND
0.0313,0.00623711,0.110163
0.0314,0.00622605,0.111118
0.0315,0.00621489,0.112074
0.0316,0.00620363,0.113029
0.0317,0.00619229,0.113983
0.0318,0.00618084,0.114938
0.0319,0.0061693,0.115892
0.032,0.00615767,0.116846
0.0321,0.00614593,0.1178
0.0322,0.0061341,0.118754
0.0323,0.00612217,0.119707
0.0324,0.00611016,0.12066
0.0325,0.00609805,0.121613
0.0326,0.00608583,0.122566
0.0327,0.00607354,0.123517
0.0328,0.00606113,0.12447
0.0329,0.00604864,0.125422
0.033,0.00603605,0.126373
0.0331,0.00602337,0.127324
0.0332,0.00601058,0.128276
0.0333,0.00599771,0.129226
0.0334,0.00598474,0.130177
0.0335,0.00597167,0.131127
0.0336,0.00595852,0.132077
0.0337,0.00594526,0.133027
0.0338,0.00593191,0.133976
0.0339,0.00591846,0.134926
0.034,0.00590493,0.135874
0.0341,0.00589129,0.136823
0.0342,0.00587756,0.137772
0.0343,0.00586374,0.13872
0.0344,0.00584981,0.139668
0.0345,0.0058358,0.140616
0.0346,0.0058217,0.141563
0.0347,0.00580749,0.14251
0.0348,0.00579319,0.143457
0.0349,0.0057788,0.144403
0.035,0.00576431,0.14535
0.0351,0.00574972,0.146296
0.0352,0.00573504,0.147242
0.0353,0.00572028,0.148188
0.0354,0.00570541,0.149133
0.0355,0.00569045,0.150079
0.0356,0.0056754,0.151023
0.0357,0.00566025,0.151968
0.0358,0.005645,0.152912
0.0359,0.00562967,0.153856
0.036,0.00561423,0.1548
0.0361,0.0055987,0.155744
0.0362,0.00558309,0.156686
0.0363,0.00556737,0.15763
0.0364,0.00555155,0.158572
0.0365,0.00553565,0.159515
0.0366,0.00551966,0.160457
0.0367,0.00550356,0.161399
0.0368,0.00548737,0.162341
0.0369,0.0054711,0.163282
0.037,0.00545472,0.164223
0.0371,0.00543824,0.165164
0.0372,0.00542169,0.166104
0.0373,0.00540503,0.167045
0.0374,0.00538827,0.167985
0.0375,0.00537144,0.168925
0.0376,0.00535449,0.169864
0.0377,0.00533745,0.170804
0.0378,0.00532034,0.171742
0.0379,0.00530311,0.172681
0.038,0.00528579,0.17362
0.0381,0.00526838,0.174558
0.0382,0.00525088,0.175496
0.0383,0.00523328,0.176434
0.0384,0.00521559,0.177371
0.0385,0.00519781,0.178308
0.0386,0.00517993,0.179245
0.0387,0.00516196,0.180182
0.0388,0.0051439,0.181118
0.0389,0.00512574,0.182054
0.039,0.00510748,0.18299
0.0391,0.00508915,0.183925
0.0392,0.0050707,0.18486
0.0393,0.00505217,0.185795
0.0394,0.00503353,0.18673
0.0395,0.00501482,0.187664
0.0396,0.00499601,0.188599
0.0397,0.0049771,0.189533
0.0398,0.00495811,0.190466
0.0399,0.00493901,0.191399
0.04,0.00491982,0.192333
0.0401,0.00490055,0.193265
0.0402,0.00488117,0.194197
0.0403,0.0048617,0.19513
0.0404,0.00484215,0.196061
0.0405,0.00482249,0.196993
0.0406,0.00480274,0.197925
0.0407,0.0047829,0.198856
0.0408,0.00476298,0.199786
0.0409,0.00474295,0.200717
0.041,0.00472282,0.201648
0.0411,0.00470262,0.202577
0.0412,0.00468231,0.203507
0.0413,0.00466191,0.204437
0.0414,0.00464143,0.205365
0.0415,0.00462084,0.206294
0.0416,0.00460016,0.207223
0.0417,0.00457941,0.208151
0.0418,0.00455854,0.209079
0.0419,0.00453758,0.210007
0.042,0.00451654,0.210934
0.0421,0.0044954,0.211862
0.0422,0.00447416,0.212789
0.0423,0.00445283,0.213716
0.0424,0.00443142,0.214641
0.0425,0.00440991,0.215568
0.0426,0.0043883,0.216494
0.0427,0.00436662,0.217419
0.0428,0.00434482,0.218344
0.0429,0.00432294,0.219269
0.043,0.00430098,0.220194
0.0431,0.0042789,0.221118
0.0432,0.00425674,0.222042
0.0433,0.0042345,0.222966
0.0434,0.00421215,0.223889
0.0435,0.00418971,0.224813
0.0436,0.00416718,0.225736
0.0437,0.00414457,0.226658
0.0438,0.00412186,0.227581
0.0439,0.00409905,0.228503
0.044,0.00407616,0.229425
0.0441,0.00405317,0.230346
0.0442,0.00403008,0.231268
0.0443,0.00400692,0.232188
0.0444,0.00398397,0.224026
0.0445,0.00396213,0.212787
0.0446,0.00394139,0.202399
0.0447,0.00392164,0.192762
0.0448,0.00390281,0.183814
0.0449,0.00388485,0.175489
