date [s];Max:Particle Z-Coordinate (Study 01 - Particles) [m];Min:Absolute Translational Velocity (Study 01 - Particles) [m/s];displacement (m);time(s)
0.0542;0.00332148;0.0277741;0.00354471;0.0343
0.0543;0.00331871;0.0276218;0.00354748;0.0344
0.0544;0.00331596;0.0274743;0.00355023;0.0345
0.0545;0.00331322;0.0273315;0.00355297;0.0346
0.0546;0.00331049;0.0271934;0.0035557;0.0347
0.0547;0.00330778;0.0270597;0.00355841;0.0348
0.0548;0.00330508;0.0269302;0.00356111;0.0349
0.0549;0.00330239;0.0268049;0.0035638;0.035
0.055;0.00329972;0.0266836;0.00356647;0.0351
0.0551;0.00329706;0.0265662;0.00356913;0.0352
0.0552;0.0032944;0.0264525;0.00357179;0.0353
0.0553;0.00329177;0.0263424;0.00357442;0.0354
0.0554;0.00328914;0.0262358;0.00357705;0.0355
0.0555;0.00328652;0.0261326;0.00357967;0.0356
0.0556;0.00328391;0.0260327;0.00358228;0.0357
0.0557;0.00328131;0.0259359;0.00358488;0.0358
0.0558;0.00327872;0.0258422;0.00358747;0.0359
0.0559;0.00327614;0.0257515;0.00359005;0.036
0.056;0.00327357;0.0256635;0.00359262;0.0361
0.0561;0.00327101;0.0255784;0.00359518;0.0362
0.0562;0.00326846;0.0254959;0.00359773;0.0363
0.0563;0.00326591;0.0254161;0.00360028;0.0364
0.0564;0.00326337;0.0253388;0.00360282;0.0365
0.0565;0.00326084;0.0252638;0.00360535;0.0366
0.0566;0.00325832;0.0251913;0.00360787;0.0367
0.0567;0.00325581;0.025121;0.00361038;0.0368
0.0568;0.0032533;0.0250529;0.00361289;0.0369
0.0569;0.0032508;0.0249869;0.00361539;0.037
0.057;0.0032483;0.024923;0.00361789;0.0371
0.0571;0.00324581;0.0248611;0.00362038;0.0372
0.0572;0.00324333;0.0248012;0.00362286;0.0373
0.0573;0.00324085;0.024743;0.00362534;0.0374
0.0574;0.00323838;0.0246867;0.00362781;0.0375
0.0575;0.00323591;0.0246322;0.00363028;0.0376
0.0576;0.00323345;0.0245794;0.00363274;0.0377
0.0577;0.003231;0.0245282;0.00363519;0.0378
0.0578;0.00322855;0.0244785;0.00363764;0.0379
0.0579;0.0032261;0.0244305;0.00364009;0.038
0.058;0.00322366;0.0243839;0.00364253;0.0381
0.0581;0.00322122;0.0243388;0.00364497;0.0382
0.0582;0.00321879;0.0242951;0.0036474;0.0383
0.0583;0.00321636;0.0242527;0.00364983;0.0384
0.0584;0.00321394;0.0242116;0.00365225;0.0385
0.0585;0.00321152;0.0241719;0.00365467;0.0386
0.0586;0.00320911;0.0241333;0.00365708;0.0387
0.0587;0.0032067;0.0240959;0.00365949;0.0388
0.0588;0.00320429;0.0240597;0.0036619;0.0389
0.0589;0.00320188;0.0240246;0.00366431;0.039
0.059;0.00319948;0.0239906;0.00366671;0.0391
