Time , meanZ
9.43712e+000 , 2.58387e-001
9.45711e+000 , 2.65415e-001
9.47710e+000 , 2.71101e-001
9.49710e+000 , 2.75395e-001
9.51709e+000 , 2.78439e-001
9.53708e+000 , 2.80965e-001
9.55708e+000 , 2.84460e-001
9.57707e+000 , 2.89030e-001
9.59707e+000 , 2.94031e-001
9.61706e+000 , 2.98579e-001
9.63705e+000 , 3.02348e-001
9.65705e+000 , 3.04875e-001
9.67704e+000 , 3.05791e-001
9.69704e+000 , 3.05178e-001
9.71703e+000 , 3.03077e-001
9.73702e+000 , 2.99040e-001
9.75702e+000 , 2.93003e-001
9.77701e+000 , 2.84993e-001
9.79701e+000 , 2.76657e-001
9.81700e+000 , 2.68902e-001
9.83699e+000 , 2.63315e-001
9.85699e+000 , 2.58372e-001
9.87698e+000 , 2.53934e-001
9.89697e+000 , 2.49634e-001
9.91697e+000 , 2.45159e-001
9.93696e+000 , 2.40759e-001
9.95696e+000 , 2.35992e-001
9.97695e+000 , 2.30595e-001
9.99694e+000 , 2.25330e-001
