Date [s];Average:Local Z-Velocity (Study 01 - Eulerian Statistics <01>) [m/s];Average:Local Z-Velocity (Study 01 - Eulerian Statistics <02>) [m/s];Average:Local Z-Velocity (Study 01 - Eulerian Statistics <03>) [m/s];Average:Local Z-Velocity (Study 01 - Eulerian Statistics <04>) [m/s];Average:Local Z-Velocity (Study 01 - Eulerian Statistics <05>) [m/s]
5.64;-0.198455;0.314016;0.459417;0.475081;0.086385
5.66;-0.231046;0.407718;0.447251;0.385642;0.00114759
5.68;0.0823611;0.571658;0.407233;0.267256;-0.10498
5.7;0.167662;0.333998;0.180921;0.0884946;-0.223935
5.72;-0.0690978;0.0253653;-0.0410988;-0.0604887;-0.362606
5.74;-0.229596;-0.140408;-0.152389;-0.194214;-0.496267
5.76;-0.356243;-0.274184;-0.236665;-0.315926;-0.646626
5.78;-0.463448;-0.361748;-0.296821;-0.441546;-0.817891
5.8;-0.573975;-0.444991;-0.356264;-0.557332;-0.98525
5.82;-0.653616;-0.470358;-0.414591;-0.675813;-1.07697
5.84;-0.766099;-0.503809;-0.470749;-0.783062;-1.00716
5.86;-0.869479;-0.552383;-0.509516;-0.790931;-0.830982
5.88;-0.959263;-0.570854;-0.535025;-0.76345;-0.6933
5.9;-0.999493;-0.287377;-0.0890555;-0.528956;-0.600441
5.92;-0.700845;0.148245;0.869482;-0.0232988;-0.499699
5.94;-0.427313;0.0747489;1.14712;0.604289;-0.400609
5.96;-0.259744;0.118935;0.943098;0.577092;-0.521679
5.98;0.0171362;0.280283;1.12407;0.360773;-0.561324
6;0.276501;0.545358;1.1854;0.419802;-0.446776
6.02;0.388579;0.717079;1.0603;0.314998;-0.301696
6.04;0.371845;0.736441;0.758538;0.211787;-0.220181
6.06;0.2617;0.61492;0.535816;0.111616;-0.207234
6.08;0.142376;0.41905;0.38574;0.0556657;-0.215662
6.1;0.0456589;0.438363;0.389993;-0.00410951;-0.240537
6.12;0.0319478;0.707172;0.395887;-0.0504128;-0.263591
6.14;0.276812;1.01235;0.435688;-0.0185494;-0.231428
6.16;0.0849292;0.432367;0.41346;0.12783;-0.0821767
6.18;-0.0479308;0.321256;0.363594;0.219696;0.0160502
6.2;-0.130356;0.499371;0.373178;0.241528;0.0287735
6.22;-0.077117;0.62829;0.433917;0.224012;-0.0699843
6.24;-0.0553288;0.546416;0.545323;0.195178;-0.174736
