date [s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <01>) [m/s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <02>) [m/s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <03>) [m/s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <04>) [m/s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <05>) [m/s]
1.4,-0.0326781,-0.0223615,-0.0351794,0.00207886,-0.0179377
1.41,-0.0808232,-0.100124,-0.120844,-0.0761652,-0.0681988
1.42,-0.12777,-0.164822,-0.19237,-0.139788,-0.122743
1.43,-0.168191,-0.198768,-0.259507,-0.184261,-0.160504
1.44,-0.218146,-0.272182,-0.333591,-0.247855,-0.194411
1.45,-0.263818,-0.303609,-0.361035,-0.290029,-0.238684
1.46,-0.20513,-0.23559,-0.272943,-0.235876,-0.209214
1.47,-0.207398,-0.218412,-0.146105,-0.175669,-0.176737
1.48,-0.212816,-0.152643,-0.037322,-0.128124,-0.178221
1.49,-0.160745,-0.0659937,-0.023267,-0.0456652,-0.106884
1.5,-0.164028,-0.0400433,0.0457607,-0.0315648,-0.122559
1.51,-0.13051,0.0225094,0.123574,0.0202565,-0.118521
1.52,-0.102289,0.0518047,0.195882,0.0763043,-0.0704105
1.53,-0.068106,0.0927114,0.251868,0.141823,-0.0594087
1.54,-0.0641707,0.131526,0.294016,0.167067,-0.0325868
1.55,-0.0613149,0.151225,0.327657,0.208458,-0.0540076
1.56,-0.0239567,0.186799,0.367309,0.212065,-0.0102075
1.57,-0.016207,0.203,0.381194,0.204518,-0.00144609
1.58,-0.0298364,0.183462,0.384103,0.22544,-0.00919528
1.59,-0.0416085,0.159255,0.353352,0.189829,-0.0177332
1.6,-0.0698281,0.122468,0.292011,0.162341,-0.0375989
1.61,-0.105513,0.0733278,0.181536,0.116584,-0.06752
1.62,-0.149759,0.0252132,0.0610806,0.064404,-0.0972654
1.63,-0.19335,-0.0409974,-0.0320957,0.0003288,-0.140377
1.64,-0.247014,-0.107289,-0.114069,-0.0729689,-0.18992
1.65,-0.302894,-0.173558,-0.187969,-0.14464,-0.249092
1.66,-0.360515,-0.233011,-0.258514,-0.210581,-0.303846
1.67,-0.420105,-0.292841,-0.289196,-0.268397,-0.360806
1.68,-0.459478,-0.352037,-0.308367,-0.320464,-0.416696
1.69,-0.433362,-0.362515,-0.378296,-0.366327,-0.457033
