Date [s],Average:Local Z-Velocity (Study 01 - Eulerian Statistics <01>) [m/s],Average:Local Z-Velocity (Study 01 - Eulerian Statistics <02>) [m/s],Average:Local Z-Velocity (Study 01 - Eulerian Statistics <03>) [m/s],Average:Local Z-Velocity (Study 01 - Eulerian Statistics <04>) [m/s],Average:Local Z-Velocity (Study 01 - Eulerian Statistics <05>) [m/s]
5.06,-0.289974,-0.0198296,-0.0826051,-0.0337817,-0.371863
5.08,-0.354964,-0.0748061,-0.0510046,-0.074935,-0.475332
5.1,-0.412754,-0.142666,0.0149442,0.0096611,-0.497811
5.12,-0.464071,-0.256296,0.0865273,0.208404,-0.313683
5.14,-0.490828,-0.10461,0.239082,0.333374,-0.14301
5.16,-0.479723,0.123674,0.4664,0.377291,-0.0502622
5.18,-0.451817,0.218089,0.699843,0.347673,-0.0420059
5.2,-0.445643,0.143814,0.485033,0.293842,-0.0576733
5.22,-0.451748,-0.000323461,0.327996,0.197453,-0.0922656
5.24,-0.473666,-0.125101,0.389184,0.170781,-0.152002
5.26,-0.50384,-0.241066,0.501668,0.184451,-0.216917
5.28,-0.452778,-0.0809652,0.685415,0.174416,-0.245684
5.3,-0.347433,-0.0124866,0.589662,0.165266,-0.238956
5.32,-0.227968,0.00626771,0.497053,0.108141,-0.231487
5.34,-0.153541,0.0633483,0.642109,0.217893,-0.189358
5.36,-0.0828708,0.12338,0.756172,0.29215,-0.0900403
5.38,-0.039341,0.162023,0.712248,0.269673,-0.0158021
5.4,0.00664229,0.211299,0.718001,0.300832,0.0460061
5.42,0.0278872,0.253217,0.67904,0.315856,0.0871441
5.44,0.0412491,0.278471,0.674703,0.320485,0.106421
5.46,0.0694868,0.299974,0.558778,0.318179,0.0899811
5.48,0.0917869,0.300296,0.389663,0.289742,0.0702466
5.5,0.101351,0.28078,0.302819,0.244174,0.0291974
5.52,0.0715543,0.258412,0.227537,0.131877,-0.0427587
5.54,0.00021334,0.162957,0.0789009,-0.0212084,-0.138271
5.56,-0.0948593,0.0253052,-0.0865357,-0.165811,-0.237696
5.58,-0.195441,-0.095256,-0.199327,-0.277166,-0.347003
5.6,-0.271828,-0.196666,-0.303854,-0.371289,-0.430903
5.62,-0.358775,-0.295041,-0.340586,-0.451093,-0.521506
5.64,-0.400562,-0.256971,-0.184733,-0.312525,-0.576875
5.66,-0.234098,-0.0317202,0.106432,-0.118491,-0.502326
5.68,-0.234569,0.0681501,0.192676,-0.0945703,-0.435871
5.7,-0.275164,0.0614788,0.204226,-0.15846,-0.441805
5.72,-0.328999,0.0379481,0.225715,-0.222037,-0.441657
5.74,-0.370992,0.0946804,0.487605,-0.0631006,-0.382125
5.76,-0.374277,0.162347,0.67161,0.0223738,-0.348508
5.78,-0.36581,0.157486,0.535605,-0.0177936,-0.35302
5.8,-0.287019,0.227232,0.626902,-0.00116363,-0.309693
5.82,-0.128283,0.450154,0.775293,0.0494851,-0.273223
5.84,0.0307942,0.556554,0.691241,0.0780309,-0.170284
5.86,0.125056,0.597874,0.62265,0.119929,-0.0913818
5.88,0.157188,0.572074,0.606911,0.174848,-0.00765061
5.9,0.141432,0.476454,0.569981,0.196262,0.0480872
5.92,0.0769176,0.28319,0.398586,0.150542,0.05824
5.94,-0.0123796,0.133219,0.184137,0.0498698,0.0302228
5.96,-0.11257,0.0123995,0.0454059,-0.0526014,-0.0335412
5.98,-0.214462,-0.080197,-0.0273269,-0.130854,-0.108748
6,-0.3179,-0.123093,0.0225221,-0.188763,-0.182052
6.02,-0.399291,-0.143579,0.11946,-0.215486,-0.245658
6.04,-0.296857,-0.108292,0.193553,-0.228963,-0.289463
6.06,-0.204102,-0.0235197,0.281953,-0.183758,-0.302762
6.08,-0.142818,0.0869566,0.431573,-0.102173,-0.284969
6.1,-0.140918,0.129918,0.556721,0.047595,-0.259472
6.12,-0.157982,0.140217,0.644954,0.144107,-0.221137
6.14,-0.193817,0.0675777,0.493326,0.139287,-0.224909
6.16,-0.259805,-0.0584571,0.231652,0.0463562,-0.278682
6.18,-0.315906,-0.160597,0.146239,-0.0360718,-0.38131
6.2,-0.357535,-0.12976,0.418707,-0.0554405,-0.4239
6.22,-0.319992,-0.0190819,0.749729,0.0172983,-0.394427
6.24,-0.226533,0.0728808,0.779959,0.13348,-0.320921
6.26,-0.132931,0.183009,0.718578,0.247867,-0.230411
6.28,-0.0940729,0.240621,0.685847,0.305498,-0.139339
6.3,-0.0978165,0.219131,0.525469,0.283059,-0.091012
6.32,-0.141032,0.149361,0.3953,0.244704,-0.139978
6.34,-0.160644,0.175432,0.467703,0.238125,-0.178296
6.36,-0.133032,0.342087,0.654027,0.305189,-0.213251
6.38,-0.0695729,0.368974,0.676168,0.346236,-0.23847
6.4,-0.064333,0.373986,0.59004,0.27141,-0.28265
6.42,-0.0510694,0.355405,0.318653,0.120309,-0.361585
6.44,-0.109503,0.320055,0.200799,-0.0230711,-0.493194
6.46,-0.179881,0.275805,0.199357,-0.117308,-0.608564
6.48,-0.246926,0.155016,0.285203,-0.0933008,-0.526628
6.5,-0.282342,0.00570898,0.331438,0.092038,-0.29448
6.52,-0.274915,0.215269,0.501567,0.149329,-0.148805
6.54,-0.242259,0.490445,0.735579,0.227972,-0.0935223
6.56,-0.164974,0.639378,0.839144,0.297084,-0.0597449
6.58,-0.0972062,0.610401,0.797968,0.328753,-0.0864632
6.6,-0.0753652,0.537568,0.700017,0.315206,-0.107574
6.62,-0.0690899,0.529658,0.648571,0.28159,-0.130132
6.64,-0.108038,0.487408,0.581909,0.232262,-0.159574
6.66,-0.186449,0.38014,0.38523,0.13614,-0.231454
6.68,-0.291591,0.252883,0.196608,0.0260316,-0.327841
6.7,-0.413258,0.144035,0.10021,-0.0826978,-0.422595
6.72,-0.540424,0.0726235,0.0656056,-0.178117,-0.492485
6.74,-0.636952,0.0272618,0.0901135,-0.236847,-0.487782
6.76,-0.663924,-0.036457,0.237806,-0.109807,-0.454264
6.78,-0.595013,0.258313,0.460279,0.0410322,-0.370512
6.8,-0.499346,0.500772,0.646052,0.161929,-0.293393
6.82,-0.374047,0.733952,0.768223,0.238675,-0.221347
6.84,-0.328962,0.534607,0.791164,0.327807,-0.12454
6.86,-0.277475,0.439303,0.768523,0.365632,-0.0561316
6.88,-0.244689,0.365931,0.686029,0.303801,-0.0737597
6.9,-0.239871,0.231945,0.418208,0.173041,-0.143823
6.92,-0.261526,0.109844,0.246403,0.0375827,-0.253132
6.94,-0.297674,0.0430888,0.185978,-0.0558925,-0.366374
6.96,-0.33123,0.00530896,0.268497,-0.0593551,-0.453589
6.98,-0.331699,0.0133421,0.35276,-0.0399005,-0.493709
7,-0.315459,0.101655,0.396453,0.037968,-0.486963
7.02,-0.282911,0.238762,0.443405,0.104194,-0.405289
7.04,-0.237838,0.346157,0.504262,0.159792,-0.273642
7.06,-0.190675,0.340993,0.527721,0.177982,-0.199306
7.08,-0.151814,0.235281,0.450748,0.17701,-0.15068
7.1,-0.12184,0.270888,0.541795,0.212197,-0.121475
7.12,-0.0696836,0.468621,0.671811,0.274733,-0.0718364
7.14,0.00305645,0.530286,0.712871,0.311505,-0.0466012
7.16,0.0508913,0.510153,0.659579,0.278925,-0.0512171
7.18,0.074179,0.422795,0.439805,0.174097,-0.103816
7.2,0.0337758,0.345958,0.230783,0.0546631,-0.181302
7.22,-0.0365643,0.317799,0.22595,-0.00343864,-0.256238
7.24,-0.10885,0.335767,0.354369,-0.0349672,-0.330424
7.26,-0.20043,0.232882,0.414745,-0.0215839,-0.395138
7.28,-0.311192,0.124146,0.317326,-0.00386082,-0.455965
7.3,-0.403639,0.099386,0.295858,0.00902867,-0.463983
7.32,-0.369895,0.377648,0.428005,0.113956,-0.428988
7.34,-0.236071,0.554762,0.598179,0.233911,-0.356819
7.36,-0.134781,0.651753,0.671154,0.270522,-0.317472
7.38,-0.130778,0.564443,0.627806,0.273006,-0.307186
7.4,-0.161482,0.365882,0.504042,0.237309,-0.317968
7.42,-0.186411,0.380929,0.555841,0.147548,-0.369078
7.44,-0.211049,0.448201,0.535729,-0.00161783,-0.443719
7.46,-0.268235,0.351772,0.25992,-0.139762,-0.518661
7.48,-0.347538,0.2396,0.250384,-0.222358,-0.578316
7.5,-0.435576,0.173752,0.301941,-0.237337,-0.584803
7.52,-0.480603,0.168245,0.386885,-0.198611,-0.579285
7.54,-0.522452,0.2464,0.436107,-0.11428,-0.543617
7.56,-0.46026,0.421465,0.537762,-0.0502844,-0.467483
7.58,-0.309519,0.466072,0.703692,0.0469569,-0.366747
7.6,-0.148058,0.525735,0.82124,0.200283,-0.217902
7.62,-0.0240953,0.572393,0.817642,0.263967,-0.0951773
7.64,0.0427195,0.510964,0.699066,0.232049,-0.0331971
7.66,0.0274756,0.412176,0.540789,0.14977,-0.00596245
7.68,-0.0118319,0.30103,0.45586,0.0757959,-0.0219595
7.7,-0.0483276,0.239196,0.415614,0.0330106,-0.0492132
7.72,-0.0767862,0.215867,0.407718,0.02281,-0.0691505
7.74,-0.08618,0.203647,0.408964,0.0376508,-0.0828181
7.76,-0.0938507,0.197001,0.36845,0.0497363,-0.0867974
