date [s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <01>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <02>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <03>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <04>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <05>) [m/s]
1.71,0.0820934,0.201582,0.044675,-0.144333,-0.0756594
1.72,0.0913943,0.222519,0.0967974,-0.185416,-0.0893292
1.73,0.112883,0.251022,0.0531711,-0.168282,-0.0975093
1.74,0.126273,0.254441,0.0657455,-0.176406,-0.107947
1.75,0.133835,0.268215,0.0715966,-0.177938,-0.123561
1.76,0.142175,0.277234,0.0707566,-0.191718,-0.123813
1.77,0.147776,0.293349,0.0805183,-0.218169,-0.11727
1.78,0.150823,0.313007,0.0865607,-0.242486,-0.122178
1.79,0.143694,0.323626,0.101482,-0.258315,-0.123419
1.8,0.15051,0.333121,0.0877568,-0.258195,-0.13301
1.81,0.148671,0.34703,0.0850492,-0.271647,-0.136124
1.82,0.148202,0.349786,0.0897887,-0.289505,-0.142946
1.83,0.143174,0.353585,0.0913792,-0.302023,-0.136328
1.84,0.15772,0.360285,0.103128,-0.317063,-0.141387
1.85,0.146861,0.374018,0.116031,-0.334625,-0.140707
1.86,0.138391,0.383867,0.0930898,-0.353385,-0.135292
1.87,0.14924,0.382058,0.103155,-0.37646,-0.136029
1.88,0.140799,0.37974,0.106607,-0.382742,-0.139375
1.89,0.150842,0.383821,0.0833327,-0.381861,-0.134658
1.9,0.152737,0.367555,0.0548305,-0.366545,-0.123195
1.91,0.13617,0.360275,0.0190502,-0.361594,-0.118613
1.92,0.140005,0.341928,-0.00643151,-0.340331,-0.111077
1.93,0.133525,0.323975,-0.0161222,-0.325893,-0.101636
1.94,0.126921,0.293784,-0.0117421,-0.303722,-0.103722
1.95,0.126034,0.269699,-0.0259036,-0.299801,-0.0977836
1.96,0.109911,0.240436,-0.0423764,-0.281574,-0.0967474
1.97,0.0995171,0.2229,-0.0557267,-0.281455,-0.0886783
1.98,0.0926507,0.217174,-0.0734753,-0.273296,-0.0804465
1.99,0.083921,0.208542,-0.0982516,-0.260895,-0.0756698
