Date [s];Average:Local X-Velocity (Study 01 - Eulerian Statistics <01>) [m/s];Average:Local X-Velocity (Study 01 - Eulerian Statistics <02>) [m/s];Average:Local X-Velocity (Study 01 - Eulerian Statistics <03>) [m/s];Average:Local X-Velocity (Study 01 - Eulerian Statistics <04>) [m/s];Average:Local X-Velocity (Study 01 - Eulerian Statistics <05>) [m/s]
4.3;0.15741;0.242696;0.302154;-0.155429;-0.107593
4.32;0.227602;0.291961;0.511645;0.130966;-0.154951
4.34;0.248226;0.332633;0.785146;0.151318;-0.155012
4.36;0.256938;0.403097;0.852283;0.0427521;-0.162044
4.38;0.255751;0.413349;0.793541;-0.218422;-0.148423
4.4;0.259669;0.368645;0.514411;-0.37181;-0.137032
4.42;0.238805;0.268889;0.428201;-0.308002;-0.136029
4.44;0.199526;0.260754;0.429621;-0.349353;-0.149689
4.46;0.1439;0.375596;0.579174;-0.242018;-0.184474
4.48;0.180035;0.449961;0.821853;0.040585;-0.243495
4.5;0.157445;0.322678;0.90622;0.057883;-0.256065
4.52;0.134996;0.294514;0.436272;-0.176894;-0.220078
4.54;0.136708;0.42521;-0.276602;-0.399246;-0.19608
4.56;0.136367;0.236613;-0.652563;-0.436118;-0.16947
4.58;0.112621;-0.472943;-0.865658;-0.38096;-0.148979
4.6;0.0954368;-0.466626;-0.948462;-0.373096;-0.116085
4.62;0.109389;-0.586366;-0.848138;-0.34638;-0.0857987
4.64;0.051253;-0.516907;-0.845328;-0.303987;-0.0665841
4.66;-0.00682252;-0.53986;-0.79298;-0.284586;-0.0870493
4.68;-0.0645248;-0.644735;-0.81642;-0.306529;-0.086295
4.7;-0.17299;-0.737148;-0.814996;-0.340162;-0.0868466
4.72;-0.22862;-0.372531;-0.795074;-0.232264;-0.0755399
4.74;-0.220233;-0.141;-0.98477;-0.143447;-0.0534278
4.76;-0.0896022;0.0810616;-0.629679;-0.397191;-0.0598711
4.78;0.00472451;0.264313;-0.309361;-0.442178;-0.056343
4.8;0.018664;0.39013;0.0233751;-0.427101;-0.111924
4.82;0.0238159;0.344269;0.0630621;-0.374727;-0.131882
4.84;0.0468439;-0.137096;-0.215324;-0.477106;-0.155387
4.86;0.0714587;-0.691789;-0.339404;-0.3407;-0.212956
4.88;-0.0123214;-0.970579;-0.748599;-0.347581;-0.245427
4.9;-0.135666;-1.03301;-0.993973;-0.426453;-0.287798
4.92;-0.0170147;-0.448589;-0.9529;-0.536187;-0.333612
4.94;0.0165728;-0.0143614;-0.793654;-0.684716;-0.355526
4.96;0.0301724;0.0794506;-0.668246;-0.612767;-0.342644
4.98;0.0292139;0.0476603;-0.724379;-0.438945;-0.302806
5;0.0412163;0.0626774;-0.816142;-0.364367;-0.219438
5.02;0.052299;0.162565;-0.762726;-0.351799;-0.196121
5.04;0.0637683;0.275863;0.229967;-0.390698;-0.181271
5.06;0.0682618;0.333391;0.558544;0.132193;-0.166516
5.08;0.0651413;0.350315;0.633186;0.588495;-0.111825
5.1;0.0699406;0.349085;0.644624;0.686272;0.00259677
5.12;0.0780414;0.32676;0.691901;0.750533;0.104719
5.14;0.0880291;0.31092;0.727371;0.792978;0.131096
5.16;0.106041;0.317006;0.691914;0.90617;0.181559
5.18;0.139742;0.304;0.609723;0.99998;0.35289
5.2;0.181531;0.304236;0.549378;1.00047;0.356018
5.22;0.164891;0.285935;0.48685;0.508122;0.0776384
5.24;0.117736;0.175376;0.474646;0.353887;-0.0370962
5.26;0.0890321;0.132121;0.298607;0.721826;-0.10239
5.28;0.140196;0.19822;0.434488;0.875491;-0.112748
5.3;0.154023;0.36003;0.697073;1.20531;0.324669
5.32;0.146194;0.444239;0.935459;1.36106;0.488958
5.34;0.12981;0.439504;0.869581;1.25047;0.223441
5.36;0.108718;0.425691;0.781074;1.07717;0.171655
5.38;0.0935584;0.403621;0.729868;0.929008;0.059768
5.4;0.0755321;0.380232;0.646007;0.833563;0.0540512
5.42;0.0711959;0.367683;0.598681;0.777697;0.0347836
5.44;0.0653488;0.360993;0.612543;0.729509;0.0651725
5.46;0.083037;0.314625;0.5942;0.681604;0.0258708
5.48;0.104847;0.29235;0.595962;0.647876;0.00438276
5.5;0.11954;0.24656;0.602471;0.642601;-0.044303
5.52;0.13923;0.190678;0.605572;0.636736;-0.0554571
5.54;0.118291;0.156178;-0.0430669;0.0158158;-0.0823703
5.56;0.161594;0.130493;-0.244303;-0.199584;-0.0999103
5.58;0.242254;0.323978;0.276912;0.0953629;-0.185307
5.6;0.218512;0.628036;0.496616;0.307444;-0.255259
5.62;0.148622;0.668876;0.989002;-0.186731;-0.188606
5.64;0.112659;0.503643;0.427488;-0.361478;-0.120756
5.66;0.0665234;0.363105;-0.252362;-0.430577;-0.159165
5.68;0.0562714;0.31251;-0.343575;-0.41423;-0.194055
5.7;0.0584878;0.246521;-0.36985;-0.459991;-0.202783
5.72;0.0893341;0.234528;-0.535999;-0.503615;-0.213431
5.74;0.135734;0.0693126;-0.674568;-0.526157;-0.250853
5.76;0.200212;0.0546841;-0.727783;-0.552626;-0.276796
5.78;0.214879;0.142034;-0.768778;-0.568164;-0.266693
5.8;0.213936;0.332245;-0.704628;-0.520662;-0.214209
5.82;0.19422;0.447639;-0.12174;-0.388303;-0.175503
5.84;0.18624;0.380736;-0.0698001;-0.27319;-0.154353
5.86;0.197069;0.329151;-0.208697;-0.335531;-0.139577
5.88;0.249845;0.308551;-0.108284;-0.464304;-0.141508
5.9;0.322423;0.350097;0.103291;-0.438395;-0.194318
5.92;0.310804;0.379202;0.373256;-0.0315764;-0.210855
5.94;0.232009;0.355374;0.485302;0.683079;-0.231745
5.96;0.17307;0.282047;0.471141;0.892811;-0.23603
5.98;0.1575;0.216652;0.407468;0.870884;0.123735
6;0.134131;0.161895;0.349805;0.771735;0.14921
6.02;0.070409;0.12165;0.337256;0.687798;0.230884
6.04;0.0388431;0.099995;0.346915;0.711552;0.317994
6.06;-0.0405311;0.0576709;0.334445;0.658963;0.374399
6.08;-0.0679393;0.00410077;0.311244;0.527192;0.142653
6.1;-0.136665;-0.0115436;0.31372;0.320736;0.00600543
6.12;-0.156671;-0.0409537;0.296702;0.162284;-0.0237532
6.14;-0.127566;-0.0703676;0.298798;0.0347811;-0.02945
6.16;-0.0551197;-0.0649136;0.199555;-0.111954;-0.0288517
6.18;-0.0080241;-0.0675882;0.386189;-0.197319;-0.0137792
6.2;0.041727;-0.019697;0.673473;-0.316768;-0.0144634
6.22;0.0636605;0.027273;0.284403;-0.150307;-0.0220605
6.24;0.0745328;-0.111366;0.246269;-0.167619;-0.0345824
6.26;0.0910125;-0.288606;0.138347;-0.244766;-0.0501896
6.28;0.0667055;-0.227245;-0.27779;-0.348441;-0.058568
6.3;0.105825;-0.190362;-0.657021;-0.417484;-0.0864121
6.32;0.195903;-0.733373;-0.711841;-0.396258;-0.139113
6.34;0.212339;-0.108317;-0.485069;-0.440195;-0.186148
6.36;0.213471;0.193464;-0.182811;-0.505728;-0.22839
6.38;0.172039;0.35056;-0.171069;-0.555454;-0.217034
6.4;0.144806;0.290738;-0.366479;-0.573576;-0.210371
6.42;0.0745434;0.17502;-0.55945;-0.558798;-0.196877
