date [s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <01>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <02>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <03>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <04>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <05>) [m/s]
1.16,0.0568917,0.00343512,-0.00261451,0.0160976,-0.0492054
1.17,0.0630171,0.0283163,0.00314504,-0.00632419,-0.05584
1.18,0.0647243,0.0611554,0.00375804,0.00987884,-0.0832428
1.19,0.0737244,0.0514975,0.00763141,0.0023205,-0.100267
1.2,0.0975887,0.0450232,0.0112941,-0.00152282,-0.101812
1.21,0.124096,0.0426395,0.0164459,-0.0145222,-0.132998
1.22,0.157123,0.0857015,0.0182655,-0.128959,-0.15864
1.23,0.192103,0.154123,0.0181837,-0.151374,-0.188119
1.24,0.208239,0.204515,-0.028586,-0.246748,-0.209334
1.25,0.230161,0.326831,-0.241636,-0.339047,-0.22368
1.26,0.245257,0.303795,-0.21038,-0.397515,-0.228386
1.27,0.25312,0.279349,-0.185627,-0.412075,-0.245573
1.28,0.24372,0.285973,-0.158897,-0.387949,-0.246002
1.29,0.261937,0.399246,-0.0621086,-0.353994,-0.249845
1.3,0.252904,0.466068,0.0590806,-0.380167,-0.262409
1.31,0.252014,0.509351,0.154359,-0.437264,-0.257553
1.32,0.274631,0.52317,0.223498,-0.447445,-0.265264
1.33,0.263275,0.518843,0.269366,-0.417161,-0.275586
1.34,0.252842,0.514377,0.269676,-0.368062,-0.269503
1.35,0.241495,0.501973,0.251769,-0.340558,-0.260068
1.36,0.262145,0.500743,0.238876,-0.338914,-0.277126
1.37,0.2525,0.506852,0.227933,-0.335571,-0.274701
1.38,0.256296,0.513806,0.201459,-0.321108,-0.253243
1.39,0.275581,0.519658,0.181296,-0.329369,-0.277042
1.4,0.277739,0.507867,0.179495,-0.325513,-0.292674
1.41,0.3064,0.508568,0.220207,-0.350486,-0.302518
1.42,0.302642,0.50329,0.218818,-0.3543,-0.298226
1.43,0.320715,0.495916,0.257273,-0.357386,-0.286551
1.44,0.31468,0.490603,0.214533,-0.351416,-0.282864
1.45,0.329944,0.477179,0.217954,-0.351407,-0.268087
1.46,0.315821,0.470412,0.219848,-0.323118,-0.276647
1.47,0.315649,0.465392,0.226909,-0.289446,-0.289681
1.48,0.290374,0.445296,0.249145,-0.278731,-0.26826
1.49,0.305471,0.430979,0.244819,-0.259555,-0.264404
1.5,0.292647,0.409502,0.262532,-0.239037,-0.245909
1.51,0.255988,0.377445,0.335661,-0.192089,-0.255025
1.52,0.216429,0.339133,0.406923,-0.141676,-0.237325
1.53,0.221551,0.311388,0.465307,-0.106302,-0.236749
1.54,0.199183,0.288593,0.467031,-0.0970652,-0.218656
1.55,0.174857,0.267492,0.46868,-0.102374,-0.20406
1.56,0.144987,0.258082,0.483956,-0.112435,-0.177817
1.57,0.160844,0.252864,0.366724,-0.133067,-0.141479
1.58,0.159821,0.245466,0.207389,-0.1403,-0.0708451
1.59,0.159611,0.236021,0.159154,-0.134749,-0.0454414
1.6,0.146156,0.215049,0.0641884,-0.120166,-0.0156944
1.61,0.131568,0.193126,-0.0551499,-0.104865,-0.0284621
1.62,0.105076,0.164631,-0.0952324,-0.0890755,-0.0346045
1.63,0.0798656,0.135654,-0.158695,-0.0802855,-0.0368126
1.64,0.0345002,0.111777,-0.25369,-0.0984628,-0.0416138
1.65,-0.00267281,0.0333401,-0.325892,-0.0923175,-0.0373561
1.66,-0.0154767,-0.085248,-0.392947,-0.0857666,-0.0156056
1.67,-0.0239087,-0.220433,-0.467137,-0.0534211,0.016036
1.68,-0.0616776,-0.31114,-0.551607,-0.03259,0.0263553
1.69,-0.0606044,-0.3456,-0.621814,-0.0237607,0.103798
1.7,-0.0666478,-0.273051,-0.467993,-0.0282564,0.142228
1.71,-0.0681622,-0.199038,-0.228801,-0.0604483,0.192091
1.72,-0.0589165,-0.0629633,-0.0223353,-0.0948331,0.227547
1.73,-0.00874865,0.109772,0.0529406,-0.102381,0.236363
1.74,0.0153005,0.260026,0.224871,-0.127843,0.240803
1.75,0.0424911,0.404495,0.290834,-0.116659,0.234587
1.76,0.0481884,0.40299,0.385859,-0.115659,0.226755
