date [s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <01>) [m/s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <02>) [m/s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <03>) [m/s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <04>) [m/s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <05>) [m/s]
2.68,-0.43947,0.333397,0.173602,-0.212318,-0.686404
2.69,-0.460658,0.377552,0.146889,-0.247079,-0.722536
2.7,-0.435774,0.471607,0.272743,-0.270421,-0.726569
2.71,-0.390683,0.606259,0.375954,-0.276838,-0.711803
2.72,-0.295175,0.764383,0.503908,-0.241855,-0.70702
2.73,-0.238102,0.883843,0.590753,-0.201611,-0.70368
2.74,-0.251712,0.930815,0.57525,-0.0881497,-0.707217
2.75,-0.259734,0.840466,0.552233,-0.0147442,-0.691284
2.76,-0.32223,0.700398,0.509874,0.0511347,-0.679006
2.77,-0.359098,0.53507,0.464618,0.0880409,-0.691056
2.78,-0.437839,0.406512,0.397782,0.0797485,-0.719838
2.79,-0.492787,0.292305,0.34141,0.0372151,-0.742105
2.8,-0.537005,0.184203,0.289245,-0.0309311,-0.809628
2.81,-0.568589,0.110605,0.233275,-0.12288,-0.860882
2.82,-0.604152,0.032163,0.197994,-0.200799,-0.913878
2.83,-0.643162,-0.0117289,0.147726,-0.285897,-0.952277
2.84,-0.668999,-0.0547692,0.097791,-0.370695,-0.961757
2.85,-0.671713,-0.00386497,0.0633119,-0.433191,-0.979531
2.86,-0.655299,0.107785,0.0732536,-0.48115,-1.00136
2.87,-0.647736,0.281805,0.14856,-0.543739,-1.00557
2.88,-0.601533,0.417251,0.336837,-0.605879,-1.00591
2.89,-0.549165,0.566697,0.511965,-0.348968,-1.00881
2.9,-0.498871,0.669714,0.635978,-0.0571582,-0.952122
2.91,-0.427507,0.713484,0.7275,0.287802,-0.941822
2.92,-0.370672,0.676391,0.744078,0.376374,-0.887419
2.93,-0.357389,0.46153,0.691932,0.32441,-0.848752
2.94,-0.363153,0.294057,0.654638,0.24309,-0.841716
2.95,-0.321461,0.336005,0.701026,0.122217,-0.799736
2.96,-0.289014,0.501306,0.797736,0.00619793,-0.75422
2.97,-0.293627,0.738625,0.847996,-0.146562,-0.723957
2.98,-0.258807,0.847139,0.813992,-0.274099,-0.713606
2.99,-0.227714,0.889993,0.816946,-0.329289,-0.665152
3,-0.197922,0.887756,0.918118,-0.359381,-0.612771
3.01,-0.178131,0.890903,1.07025,-0.302316,-0.559033
3.02,-0.138241,0.858349,1.192,-0.150029,-0.510736
3.03,-0.112519,0.831119,1.2446,0.221431,-0.440938
3.04,-0.0795343,0.909471,1.32723,0.32378,-0.38376
3.05,-0.00991991,1.03535,1.38564,0.332363,-0.331351
3.06,0.0471624,1.07818,1.32612,0.337138,-0.291138
3.07,0.147137,1.09831,1.17322,0.248609,-0.267427
3.08,0.208794,1.08579,1.1093,0.152165,-0.240251
3.09,0.261255,1.06349,1.00686,0.106649,-0.244616
3.1,0.29933,1.05551,0.975238,0.0699341,-0.243773
3.11,0.338373,1.00359,0.909832,0.0548416,-0.249684
3.12,0.363377,0.907529,0.829876,0.0628339,-0.260954
3.13,0.354343,0.820762,0.763826,0.0524379,-0.287817
3.14,0.344074,0.793548,0.710239,0.058698,-0.31725
3.15,0.305497,0.718934,0.653834,0.0769417,-0.340346
3.16,0.272635,0.668877,0.620449,0.0822953,-0.372994
3.17,0.209324,0.568853,0.587091,0.0876583,-0.404923
3.18,0.176783,0.535341,0.57267,0.0806883,-0.437604
3.19,0.176583,0.452301,0.540305,0.0776581,-0.467666
3.2,0.14935,0.404106,0.530438,0.0759743,-0.511079
3.21,0.112801,0.393338,0.535088,0.0792987,-0.551669
3.22,0.101489,0.42617,0.555376,0.0916283,-0.566743
3.23,0.128766,0.420882,0.571653,0.0962472,-0.574352
3.24,0.15859,0.327485,0.584162,0.111854,-0.627097
3.25,0.161585,0.333116,0.607887,0.121596,-0.633575
3.26,0.13714,0.396141,0.704964,0.15628,-0.621019
3.27,0.121182,0.462593,0.771034,0.19077,-0.622699
3.28,0.106135,0.501853,0.866536,0.240623,-0.637154
3.29,0.1049,0.573346,0.895698,0.277492,-0.575271
3.3,0.130734,0.637227,1.10527,0.390977,-0.59612
3.31,0.142911,0.679214,1.26428,0.525526,-0.506552
3.32,0.147778,0.680212,1.33806,0.67923,-0.407924
3.33,0.127869,0.619584,1.24151,0.854818,-0.293126
3.34,0.096253,0.549648,0.908818,0.942726,-0.2372
3.35,0.0451415,0.446875,0.743435,0.922837,-0.195961
3.36,-0.00579436,0.320123,0.582502,0.786572,-0.27359
3.37,-0.0549866,0.22335,0.455732,0.55543,-0.380809
3.38,-0.112188,0.144909,0.423322,0.456036,-0.535355
3.39,-0.167761,0.0822997,0.361973,0.343548,-0.633574
3.4,-0.221179,0.0220538,0.33145,0.258936,-0.707556
3.41,-0.272204,-0.0319783,0.277194,0.18746,-0.779582
3.42,-0.331774,-0.0835854,0.256816,0.0834683,-0.822989
3.43,-0.378184,-0.123234,0.244051,0.0471801,-0.846737
3.44,-0.435435,-0.159242,0.272493,-0.0136881,-0.840853
3.45,-0.463415,-0.194133,0.235101,-0.0885366,-0.897832
3.46,-0.400669,-0.203662,0.143049,-0.119981,-0.923259
3.47,-0.336965,-0.155887,0.0802755,-0.218166,-0.932394
3.48,-0.250414,-0.0437224,0.105581,-0.284506,-0.963438
3.49,-0.188533,0.0590931,0.433535,-0.0238461,-0.974439
3.5,-0.156324,0.168568,0.634757,0.822913,-0.918117
3.51,-0.0976866,0.298252,0.721157,1.20488,-0.651465
3.52,-0.0642969,0.394825,0.785075,1.39402,-0.272683
3.53,-0.155977,0.38964,0.817006,1.44563,0.118939
3.54,-0.210679,0.295883,0.773355,1.0758,0.0607667
3.55,-0.220058,0.243827,0.672889,0.758335,-0.0130047
3.56,-0.207963,0.173818,0.550333,0.608005,-0.108603
3.57,-0.190952,0.122798,0.444799,0.445963,-0.204406
3.58,-0.192468,0.0693623,0.354398,0.370959,-0.277427
3.59,-0.196124,0.021194,0.264736,0.300454,-0.361673
3.6,-0.199309,-0.00772654,0.378467,0.202701,-0.42279
3.61,-0.202164,-0.0164285,0.555695,0.208424,-0.500346
3.62,-0.235259,-0.0200869,0.675444,0.34571,-0.537342
3.63,-0.258117,-0.0170017,0.699881,0.474384,-0.576851
3.64,-0.310934,-0.0146428,0.731972,0.589737,-0.560863
3.65,-0.356209,-0.0414813,0.809116,0.672748,-0.386316
3.66,-0.416946,-0.0408176,0.86683,0.717861,-0.0532895
3.67,-0.46027,-0.0768619,0.870598,0.750486,0.153875
3.68,-0.519752,-0.135811,0.800817,0.750071,0.233947
3.69,-0.581844,-0.203308,0.685595,0.717808,0.203346
3.7,-0.645253,-0.276792,0.555953,0.661568,0.120995
3.71,-0.68362,-0.327281,0.463084,0.604329,0.0798165
3.72,-0.726016,-0.372496,0.397068,0.624031,0.0510168
3.73,-0.74218,-0.390463,0.351979,0.685441,0.0566137
3.74,-0.749671,-0.357099,0.412475,0.742376,0.0690885
3.75,-0.679609,-0.261993,0.526904,0.847503,0.0844791
3.76,-0.565785,-0.112116,0.695233,0.884843,0.113082
3.77,-0.4657,0.106043,0.905825,0.892887,0.122307
3.78,-0.346714,0.299986,0.994914,0.865075,0.0985084
3.79,-0.256057,0.494735,1.14311,0.79949,0.0961605
3.8,-0.171053,0.638293,1.17859,0.731486,0.0904165
3.81,-0.108652,0.71014,1.12825,0.653116,0.0910259
3.82,-0.0663774,0.699365,1.036,0.584583,0.0845076
