date [s],Average:Translational X-Velocity (Study 01 - Cube <01>) [m/s],Average:Translational X-Velocity (Study 01 - Cube <02>) [m/s],Average:Translational X-Velocity (Study 01 - Cube <03>) [m/s],Average:Translational X-Velocity (Study 01 - Cube <04>) [m/s],Average:Translational X-Velocity (Study 01 - Cube <05>) [m/s]
1.22,1.38342e-06,3.56262e-06,1.21922e-06,-1.18823e-06,-6.53998e-07
1.23,1.78709e-06,4.29856e-06,1.2676e-06,-7.94546e-07,-3.60851e-07
1.24,2.53119e-06,6.36029e-06,1.3397e-06,-1.01116e-06,-4.34273e-07
1.25,2.36805e-06,6.31035e-06,1.12196e-06,-6.67632e-06,9.6199e-08
1.26,2.93633e-06,7.61326e-06,7.42369e-07,-8.98405e-07,-7.09811e-07
1.27,3.33343e-06,1.01817e-05,4.64908e-07,-9.78532e-07,-1.27375e-06
1.28,3.88903e-06,1.37123e-05,1.91213e-06,6.80234e-07,-1.72039e-06
1.29,4.87078e-06,1.88781e-05,1.81342e-06,3.84052e-06,-2.88628e-06
1.3,5.54124e-06,6.07462e-07,2.63379e-06,1.00245e-05,-3.53356e-06
1.31,9.86657e-06,3.8473e-06,8.53754e-06,3.35324e-05,-4.93244e-06
1.32,8.05008e-06,1.66416e-05,6.19498e-06,6.22262e-05,-2.08635e-05
1.33,4.44597e-06,8.49594e-06,3.71361e-06,0.000104523,-8.86569e-06
1.34,-1.83921e-05,1.57243e-05,5.28183e-06,7.44826e-05,2.27232e-05
1.35,4.91547e-05,4.74994e-05,-1.34599e-05,9.2238e-05,2.02683e-05
1.36,-1.20481e-06,5.77079e-05,1.60783e-05,4.70809e-05,1.91579e-05
1.37,3.4104e-05,5.75206e-05,1.15806e-05,-8.35229e-05,-3.97626e-06
1.38,2.17729e-05,-6.93694e-05,5.34205e-05,-0.00012605,-3.17323e-06
1.39,2.91169e-05,2.06748e-06,6.02292e-05,-5.23197e-05,-9.39297e-05
1.4,0.000142352,-3.78563e-05,5.47692e-05,-3.58524e-05,-6.63245e-05
